Designator,Footprint,Quantity,Value,LCSC Part #
3V3,TestPoint_Pad_D1.0mm,1,3V3,
5V,TestPoint_Pad_D1.0mm,1,USB 5V,
BAT+,TestPoint_Pad_D2.5mm,1,BAT+,
BAT-,TestPoint_Pad_D2.5mm,1,BAT-,
C1,0603,1,10n,
"C10, C11",0603,2,8p,
C12,0603,1,1u,
"C13, C2, C21, C22, C3, C4, C5, C6, C7",0603,9,100n,
C14,0603,1,40u,
C15,0603,1,47n,
"C16, C17, C19",0603,3,10u,
C18,0603,1,4u7,
C20,0603,1,22u,
"C8, C9",0603,2,3p,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D13, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D14, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D15, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D16, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D17, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",0603,179,blue led,
"GND_2, GND",TestPoint_Pad_D1.0mm,2,GND,
J2,JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical,1,Conn_01x03_Pin,
J3,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"L1, L2",0603,2,2u2,
"R1, R22, R28, R29, R30, R31, R35, R36",0603,8,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R5, R6, R7, R8, R9",0603,17,100R,
R21,0603,1,2k2,
"R23, R24",0603,2,5k1,
R25,0603,1,5k23,
R26,0603,1,270R,
R27,0603,1,30k1,
"R3, R33, R34, R4",0603,4,0R,
R32,0603,1,36k5,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32L051C6Tx,
U2,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,
U3,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900,
U4,XDCR_BMA400,1,BMA400,
V_SYS,TestPoint_Pad_D1.0mm,1,BQ SYS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25.00M-SMDHC49S,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,G83270025,
