Designator,Mid X,Mid Y,Rotation,Layer
C1,130.8,-112.2,90.0,bottom
C10,133.4,-101.8,270.0,bottom
C11,131.6,-102.8,270.0,bottom
C12,121.75,-72.5,180.0,bottom
C13,124.5,-73.25,90.0,bottom
C14,128.0,-79.75,270.0,bottom
C15,130.0,-79.75,90.0,bottom
C16,135.0,-85.0,0.0,bottom
C17,142.0,-79.75,270.0,bottom
C18,143.325,-76.5,180.0,bottom
C19,104.25,-83.25,270.0,bottom
C2,134.0,-112.2,90.0,bottom
C20,94.25,-82.2,270.0,bottom
C21,125.0,-138.8,270.0,bottom
C22,115.4,-137.85,270.0,bottom
C3,115.5,-112.25,180.0,bottom
C4,114.0,-98.75,0.0,bottom
C5,125.4,-98.25,0.0,bottom
C6,129.4,-98.0,180.0,bottom
C7,142.4,-101.4,90.0,bottom
C8,139.4,-107.4,270.0,bottom
C9,137.6,-109.175,270.0,bottom
D1,95.525,-132.75,180.0,bottom
D10,115.0,-75.0,180.0,top
D100,95.0,-110.0,180.0,top
D101,100.0,-110.0,180.0,top
D102,105.0,-110.0,180.0,top
D103,110.0,-110.0,180.0,top
D104,115.0,-110.0,180.0,top
D105,120.0,-110.0,180.0,top
D106,125.0,-110.0,180.0,top
D107,130.0,-110.0,180.0,top
D108,135.0,-110.0,180.0,top
D109,140.0,-110.0,180.0,top
D11,120.0,-75.0,180.0,top
D110,145.0,-110.0,180.0,top
D111,150.0,-110.0,180.0,top
D112,155.0,-110.0,180.0,top
D113,85.0,-115.0,180.0,top
D114,90.0,-115.0,180.0,top
D115,95.0,-115.0,180.0,top
D116,100.0,-115.0,180.0,top
D117,105.0,-115.0,180.0,top
D118,110.0,-115.0,180.0,top
D119,115.0,-115.0,180.0,top
D12,125.0,-75.0,180.0,top
D120,120.0,-115.0,180.0,top
D121,125.0,-115.0,180.0,top
D122,130.0,-115.0,180.0,top
D123,135.0,-115.0,180.0,top
D124,140.0,-115.0,180.0,top
D125,145.0,-115.0,180.0,top
D126,150.0,-115.0,180.0,top
D127,155.0,-115.0,180.0,top
D128,90.0,-120.0,180.0,top
D129,95.0,-120.0,180.0,top
D13,130.0,-75.0,180.0,top
D130,100.0,-120.0,180.0,top
D131,105.0,-120.0,180.0,top
D132,110.0,-120.0,180.0,top
D133,115.0,-120.0,180.0,top
D134,120.0,-120.0,180.0,top
D135,125.0,-120.0,180.0,top
D136,130.0,-120.0,180.0,top
D137,135.0,-120.0,180.0,top
D138,140.0,-120.0,180.0,top
D139,145.0,-120.0,180.0,top
D14,135.0,-75.0,180.0,top
D140,150.0,-120.0,180.0,top
D141,90.0,-125.0,180.0,top
D142,95.0,-125.0,180.0,top
D143,100.0,-125.0,180.0,top
D144,105.0,-125.0,180.0,top
D145,110.0,-125.0,180.0,top
D146,115.0,-125.0,180.0,top
D147,120.0,-125.0,180.0,top
D148,125.0,-125.0,180.0,top
D149,130.0,-125.0,180.0,top
D15,140.0,-75.0,180.0,top
D150,135.0,-125.0,180.0,top
D151,140.0,-125.0,180.0,top
D152,145.0,-125.0,180.0,top
D153,150.0,-125.0,180.0,top
D154,95.0,-130.0,180.0,top
D155,100.0,-130.0,180.0,top
D156,105.0,-130.0,180.0,top
D157,110.0,-130.0,180.0,top
D158,115.0,-130.0,180.0,top
D159,120.0,-130.0,180.0,top
D16,95.0,-80.0,180.0,top
D160,125.0,-130.0,180.0,top
D161,130.0,-130.0,180.0,top
D162,135.0,-130.0,180.0,top
D163,140.0,-130.0,180.0,top
D164,145.0,-130.0,180.0,top
D165,100.0,-135.0,180.0,top
D166,105.0,-135.0,180.0,top
D167,110.0,-135.0,180.0,top
D168,115.0,-135.0,180.0,top
D169,120.0,-135.0,180.0,top
D17,100.0,-80.0,180.0,top
D170,125.0,-135.0,180.0,top
D171,130.0,-135.0,180.0,top
D172,135.0,-135.0,180.0,top
D173,140.0,-135.0,180.0,top
D174,110.0,-140.0,180.0,top
D175,115.0,-140.0,180.0,top
D176,120.0,-140.0,180.0,top
D177,125.0,-140.0,180.0,top
D178,130.0,-140.0,180.0,top
D179,127.5,-68.25,180.0,bottom
D18,105.0,-80.0,180.0,top
D19,110.0,-80.0,180.0,top
D2,110.0,-70.0,180.0,top
D20,115.0,-80.0,180.0,top
D21,120.0,-80.0,180.0,top
D22,125.0,-80.0,180.0,top
D23,130.0,-80.0,180.0,top
D24,135.0,-80.0,180.0,top
D25,140.0,-80.0,180.0,top
D26,145.0,-80.0,180.0,top
D27,90.0,-85.0,180.0,top
D28,95.0,-85.0,180.0,top
D29,100.0,-85.0,180.0,top
D3,115.0,-70.0,180.0,top
D30,105.0,-85.0,180.0,top
D31,110.0,-85.0,180.0,top
D32,115.0,-85.0,180.0,top
D33,120.0,-85.0,180.0,top
D34,125.0,-85.0,180.0,top
D35,130.0,-85.0,180.0,top
D36,135.0,-85.0,180.0,top
D37,140.0,-85.0,180.0,top
D38,145.0,-85.0,180.0,top
D39,150.0,-85.0,180.0,top
D4,120.0,-70.0,180.0,top
D40,90.0,-90.0,180.0,top
D41,95.0,-90.0,180.0,top
D42,100.0,-90.0,180.0,top
D43,105.0,-90.0,180.0,top
D44,110.0,-90.0,180.0,top
D45,115.0,-90.0,180.0,top
D46,120.0,-90.0,180.0,top
D47,125.0,-90.0,180.0,top
D48,130.0,-90.0,180.0,top
D49,135.0,-90.0,180.0,top
D5,125.0,-70.0,180.0,top
D50,140.0,-90.0,180.0,top
D51,145.0,-90.0,180.0,top
D52,150.0,-90.0,180.0,top
D53,85.0,-95.0,180.0,top
D54,90.0,-95.0,180.0,top
D55,95.0,-95.0,180.0,top
D56,100.0,-95.0,180.0,top
D57,105.0,-95.0,180.0,top
D58,110.0,-95.0,180.0,top
D59,115.0,-95.0,180.0,top
D6,130.0,-70.0,180.0,top
D60,120.0,-95.0,180.0,top
D61,125.0,-95.0,180.0,top
D62,130.0,-95.0,180.0,top
D63,135.0,-95.0,180.0,top
D64,140.0,-95.0,180.0,top
D65,145.0,-95.0,180.0,top
D66,150.0,-95.0,180.0,top
D67,155.0,-95.0,180.0,top
